transaction_date,owner,ticker,asset_type,type,amount,state,industry,senator
4/18/2023,Spouse,ESS,Stock,Sale (Full),"$15,000 ",RI,Real Estate Investment Trusts,Sheldon Whitehouse
4/18/2023,Self,ESS,Stock,Sale (Full),"$15,000 ",RI,Real Estate Investment Trusts,Sheldon Whitehouse
5/16/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,Michael F. Bennet
4/4/2023,Spouse,UPS,Stock,Sale (Full),"$15,000 ",WV,Trucking Freight/Courier Services,Shelley Moore Capito
4/4/2023,Spouse,MCD,Stock,Sale (Partial),"$15,000 ",WV,Restaurants,Shelley Moore Capito
4/4/2023,Spouse,DUK,Stock,Sale (Full),"$50,000 ",WV,Power Generation,Shelley Moore Capito
4/28/2023,Spouse,TTD,Stock,Sale (Full),"$50,000 ",CO,"Computer Software: Programming, Data Processing",John W. Hickenlooper
4/28/2023,Spouse,PTON,Stock,Sale (Full),"$15,000 ",CO,Recreational Products/Toys,John W. Hickenlooper
4/28/2023,Spouse,DIS,Stock,Sale (Full),"$50,000 ",CO,Services-Misc. Amusement & Recreation,John W. Hickenlooper
4/28/2023,Spouse,CMCSA,Stock,Sale (Full),"$50,000 ",CO,Television Services,John W. Hickenlooper
4/28/2023,Spouse,CCCS,Stock,Sale (Full),"$50,000 ",CO,Computer Software: Prepackaged Software,John W. Hickenlooper
4/28/2023,Spouse,AMZN,Stock,Sale (Full),"$50,000 ",CO,Catalog/Specialty Distribution,John W. Hickenlooper
4/28/2023,Spouse,BABA,Stock,Sale (Full),"$15,000 ",CO,Business Services,John W. Hickenlooper
4/28/2023,Spouse,SNAP,Stock,Sale (Full),"$15,000 ",CO,"Computer Software: Programming, Data Processing",John W. Hickenlooper
4/28/2023,Spouse,PINS,Stock,Sale (Full),"$15,000 ",CO,,John W. Hickenlooper
4/12/2023,Spouse,CARG,Stock,Sale (Full),"$15,000 ",CO,Interactive Media,John W. Hickenlooper
4/12/2023,Spouse,BBY,Stock,Sale (Full),"$15,000 ",CO,Consumer Electronics/Video Chains,John W. Hickenlooper
5/1/2023,Spouse,CMG,Stock,Sale (Partial),"$250,000 ",CO,Restaurants,John W. Hickenlooper
5/11/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,Rick Scott
4/28/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/28/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/28/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/28/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/28/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/28/2023,Joint,F,Stock,Purchase,"$50,000 ",AL,Auto Manufacturing,Tommy Tuberville
4/27/2023,Joint,F,Stock,Purchase,"$250,000 ",AL,Auto Manufacturing,Tommy Tuberville
4/26/2023,Joint,F,Stock,Purchase,"$50,000 ",AL,Auto Manufacturing,Tommy Tuberville
4/26/2023,Joint,ATVI,Stock,Sale (Full),"$250,000 ",AL,Computer Software: Prepackaged Software,Tommy Tuberville
4/24/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/24/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/24/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/24/2023,Joint,X,Stock,Sale (Partial),"$100,000 ",AL,Steel/Iron Ore,Tommy Tuberville
4/24/2023,Joint,X,Stock,Sale (Partial),"$250,000 ",AL,Steel/Iron Ore,Tommy Tuberville
4/24/2023,Joint,CLF,Stock,Purchase,"$50,000 ",AL,Precious Metals,Tommy Tuberville
4/18/2023,Joint,OXY,Stock Option,Sale (Partial),"$15,000 ",AL,Oil & Gas Production,Tommy Tuberville
4/14/2023,Joint,KMB,Stock Option,Sale (Partial),"$15,000 ",AL,Containers/Packaging,Tommy Tuberville
4/14/2023,Joint,MMM,Stock,Purchase,"$15,000 ",AL,Medical/Dental Instruments,Tommy Tuberville
4/14/2023,Joint,MRO,Stock Option,Sale (Partial),"$15,000 ",AL,Oil & Gas Production,Tommy Tuberville
4/10/2023,Joint,KR,Stock Option,Sale (Partial),"$15,000 ",AL,Food Chains,Tommy Tuberville
4/10/2023,Joint,MDLZ,Stock Option,Sale (Partial),"$15,000 ",AL,Packaged Foods,Tommy Tuberville
4/10/2023,Joint,PARA,Stock Option,Sale (Partial),"$15,000 ",AL,Movies/Entertainment,Tommy Tuberville
4/10/2023,Joint,HPQ,Stock Option,Sale (Partial),"$15,000 ",AL,Computer Manufacturing,Tommy Tuberville
4/4/2023,Joint,TSLA,Stock Option,Sale (Partial),"$50,000 ",AL,Auto Manufacturing,Tommy Tuberville
4/3/2023,Joint,TXN,Stock Option,Sale (Partial),"$50,000 ",AL,Semiconductors,Tommy Tuberville
4/3/2023,Joint,XP,Stock,Purchase,"$15,000 ",AL,Investment Bankers/Brokers/Service,Tommy Tuberville
4/3/2023,Joint,VCTR,Stock,Sale (Full),"$15,000 ",AL,Investment Managers,Tommy Tuberville
4/3/2023,Joint,VZ,Stock,Purchase,"$15,000 ",AL,Telecommunications Equipment,Tommy Tuberville
4/3/2023,Joint,TREX,Stock,Sale (Full),"$15,000 ",AL,,Tommy Tuberville
4/3/2023,Joint,MMM,Stock,Purchase,"$15,000 ",AL,Medical/Dental Instruments,Tommy Tuberville
4/3/2023,Joint,TMO,Stock,Sale (Full),"$15,000 ",AL,Industrial Machinery/Components,Tommy Tuberville
4/3/2023,Joint,MSFT,Stock Option,Sale (Partial),"$50,000 ",AL,Computer Software: Prepackaged Software,Tommy Tuberville
4/3/2023,Joint,TSLA,Stock,Purchase,"$15,000 ",AL,Auto Manufacturing,Tommy Tuberville
4/3/2023,Joint,SKY,Stock,Purchase,"$15,000 ",AL,Homebuilding,Tommy Tuberville
4/3/2023,Joint,SSD,Stock,Purchase,"$15,000 ",AL,Industrial Machinery/Components,Tommy Tuberville
4/3/2023,Joint,SCI,Stock,Sale (Full),"$15,000 ",AL,Other Consumer Services,Tommy Tuberville
4/3/2023,Joint,QSR,Stock,Purchase,"$15,000 ",AL,Restaurants,Tommy Tuberville
4/3/2023,Joint,REGN,Stock,Purchase,"$15,000 ",AL,Major Pharmaceuticals,Tommy Tuberville
4/3/2023,Joint,RRC,Stock,Purchase,"$15,000 ",AL,Oil & Gas Production,Tommy Tuberville
4/3/2023,Joint,RH,Stock,Sale (Full),"$15,000 ",AL,Other Specialty Stores,Tommy Tuberville
4/3/2023,Joint,PHM,Stock,Sale (Full),"$15,000 ",AL,Homebuilding,Tommy Tuberville
4/3/2023,Joint,PAM,Stock,Purchase,"$15,000 ",AL,Electric Utilities: Central,Tommy Tuberville
4/3/2023,Joint,NSC,Stock,Purchase,"$15,000 ",AL,Railroads,Tommy Tuberville
4/3/2023,Joint,NDSN,Stock,Purchase,"$15,000 ",AL,Industrial Machinery/Components,Tommy Tuberville
4/3/2023,Joint,NVDA,Stock,Purchase,"$15,000 ",AL,Semiconductors,Tommy Tuberville
4/3/2023,Joint,MCO,Stock,Sale (Full),"$15,000 ",AL,Finance: Consumer Services,Tommy Tuberville
4/3/2023,Joint,MPWR,Stock,Sale (Partial),"$15,000 ",AL,Semiconductors,Tommy Tuberville
4/3/2023,Joint,MPWR,Stock,Sale (Partial),"$15,000 ",AL,Semiconductors,Tommy Tuberville
4/3/2023,Joint,MTD,Stock,Sale (Full),"$15,000 ",AL,Biotechnology: Laboratory Analytical Instruments,Tommy Tuberville
4/3/2023,Joint,MMC,Stock,Sale (Full),"$15,000 ",AL,Specialty Insurers,Tommy Tuberville
4/3/2023,Joint,MKSI,Stock,Sale (Full),"$15,000 ",AL,Industrial Machinery/Components,Tommy Tuberville
4/3/2023,Joint,LMST,Stock,Sale (Full),"$15,000 ",AL,Major Banks,Tommy Tuberville
4/3/2023,Joint,ITW,Stock,Sale (Full),"$15,000 ",AL,Industrial Machinery/Components,Tommy Tuberville
4/3/2023,Joint,IDXX,Stock,Purchase,"$15,000 ",AL,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Tommy Tuberville
4/3/2023,Joint,GFI,Stock,Sale (Full),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/3/2023,Joint,FLT,Stock,Sale (Full),"$15,000 ",AL,EDP Services,Tommy Tuberville
4/3/2023,Joint,META,Stock,Sale (Full),"$15,000 ",AL,Internet and Information Services,Tommy Tuberville
4/3/2023,Joint,ETSY,Stock,Sale (Full),"$15,000 ",AL,Business Services,Tommy Tuberville
4/3/2023,Joint,EW,Stock,Sale (Full),"$15,000 ",AL,Industrial Specialties,Tommy Tuberville
4/3/2023,Joint,DQ,Stock,Sale (Full),"$15,000 ",AL,Semiconductors,Tommy Tuberville
4/3/2023,Joint,CROX,Stock,Sale (Full),"$15,000 ",AL,Shoe Manufacturing,Tommy Tuberville
4/3/2023,Joint,CSCO,Stock,Sale (Full),"$50,000 ",AL,Computer Communications Equipment,Tommy Tuberville
4/3/2023,Joint,ANET,Stock,Sale (Full),"$50,000 ",AL,,Tommy Tuberville
4/3/2023,Joint,AMT,Stock,Sale (Full),"$15,000 ",AL,Real Estate Investment Trusts,Tommy Tuberville
4/3/2023,Joint,ALLE,Stock,Sale (Full),"$15,000 ",AL,Diversified Commercial Services,Tommy Tuberville
4/3/2023,Joint,ABBV,Stock,Sale (Partial),"$15,000 ",AL,Major Pharmaceuticals,Tommy Tuberville
4/3/2023,Joint,GSK,Stock,Purchase,"$15,000 ",AL,Major Pharmaceuticals,Tommy Tuberville
4/3/2023,Joint,GNTX,Stock,Purchase,"$15,000 ",AL,Auto Parts:O.E.M.,Tommy Tuberville
4/3/2023,Joint,GRMN,Stock,Purchase,"$15,000 ",AL,Industrial Machinery/Components,Tommy Tuberville
4/3/2023,Joint,DIOD,Stock,Purchase,"$15,000 ",AL,Semiconductors,Tommy Tuberville
4/3/2023,Joint,CBSH,Stock,Purchase,"$15,000 ",AL,Major Banks,Tommy Tuberville
4/3/2023,Joint,CRUS,Stock,Purchase,"$15,000 ",AL,Semiconductors,Tommy Tuberville
4/3/2023,Joint,AVGO,Stock,Purchase,"$15,000 ",AL,Semiconductors,Tommy Tuberville
4/3/2023,Joint,ADSK,Stock,Purchase,"$15,000 ",AL,Computer Software: Prepackaged Software,Tommy Tuberville
4/3/2023,Joint,APH,Stock,Purchase,"$15,000 ",AL,Electrical Products,Tommy Tuberville
4/3/2022,Joint,A,Stock,Purchase,"$15,000 ",AL,Biotechnology: Laboratory Analytical Instruments,Tommy Tuberville
5/10/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,#NAME?
4/26/2023,Spouse,NVS,Stock,Purchase,"$15,000 ",DE,Major Pharmaceuticals,Thomas R. Carper
4/26/2023,Spouse,TMO,Stock,Sale (Partial),"$15,000 ",DE,Industrial Machinery/Components,Thomas R. Carper
4/17/2023,Spouse,FIMKX,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
4/17/2023,Spouse,FCPIX,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
4/17/2023,Spouse,JHMM,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
4/17/2023,Spouse,SBIO,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
4/17/2023,Spouse,LGI,Stock,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
4/17/2023,Spouse,BRKR,Stock,Sale (Full),"$15,000 ",DE,Biotechnology: Laboratory Analytical Instruments,Thomas R. Carper
4/17/2023,Spouse,AVNT,Stock,Sale (Full),"$15,000 ",DE,Major Chemicals,Thomas R. Carper
4/17/2023,Spouse,FDN,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
4/17/2023,Spouse,RTH,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
4/17/2023,Spouse,SNDR,Stock,Sale (Full),"$15,000 ",DE,Trucking Freight/Courier Services,Thomas R. Carper
4/17/2023,Spouse,DGRS,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
4/17/2023,Spouse,MRVL,Stock,Sale (Full),"$15,000 ",DE,Semiconductors,Thomas R. Carper
4/17/2023,Spouse,ALGM,Stock,Sale (Full),"$15,000 ",DE,Semiconductors,Thomas R. Carper
4/17/2023,Spouse,DIOD,Stock,Sale (Full),"$15,000 ",DE,Semiconductors,Thomas R. Carper
4/17/2023,Spouse,VSH,Stock,Sale (Full),"$15,000 ",DE,Industrial Machinery/Components,Thomas R. Carper
4/13/2023,Spouse,UAA,Stock,Sale (Full),"$15,000 ",DE,Apparel,Thomas R. Carper
4/13/2023,Spouse,UA,Stock,Sale (Full),"$15,000 ",DE,Apparel,Thomas R. Carper
4/13/2023,Spouse,CSCO,Stock,Sale (Full),"$50,000 ",DE,Computer Communications Equipment,Thomas R. Carper
4/11/2023,Joint,ITW,Stock,Sale (Full),"$50,000 ",IL,Industrial Machinery/Components,Tammy Duckworth
4/20/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Blumenthal
4/5/2023,Spouse,CSII,Stock,Sale (Full),"$100,000 ",MN,Medical/Dental Instruments,Tina Smith
4/5/2023,Spouse,MDT,Stock,Sale (Full),"$250,000 ",MN,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Tina Smith
4/5/2023,Spouse,CSII,Stock,Sale (Full),"$100,000 ",MN,Medical/Dental Instruments,Tina Smith
3/14/2023,Self,TFC,Stock,Purchase,"$15,000 ",MI,Major Banks,Gary C. Peters
3/14/2023,Self,O,Stock,Purchase,"$50,000 ",MI,Real Estate Investment Trusts,Gary C. Peters
3/13/2023,Self,NUE,Stock,Sale (Full),"$100,000 ",MI,Steel/Iron Ore,Gary C. Peters
3/21/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
3/21/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
3/21/2023,Joint,TSM,Stock Option,Purchase,"$15,000 ",AL,Semiconductors,Tommy Tuberville
3/21/2023,Joint,X,Stock,Sale (Partial),"$15,000 ",AL,Steel/Iron Ore,Tommy Tuberville
3/21/2023,Joint,X,Stock,Sale (Partial),"$15,000 ",AL,Steel/Iron Ore,Tommy Tuberville
3/21/2023,Joint,X,Stock,Sale (Partial),"$50,000 ",AL,Steel/Iron Ore,Tommy Tuberville
3/21/2023,Joint,X,Stock,Sale (Partial),"$50,000 ",AL,Steel/Iron Ore,Tommy Tuberville
3/21/2023,Joint,X,Stock,Sale (Partial),"$100,000 ",AL,Steel/Iron Ore,Tommy Tuberville
3/21/2023,Joint,X,Stock,Sale (Partial),"$100,000 ",AL,Steel/Iron Ore,Tommy Tuberville
3/21/2023,Joint,CLF,Stock,Purchase,"$100,000 ",AL,Precious Metals,Tommy Tuberville
3/20/2023,Joint,X,Stock,Sale (Partial),"$100,000 ",AL,Steel/Iron Ore,Tommy Tuberville
3/10/2023,Joint,KMB,Stock,Purchase,"$50,000 ",AL,Containers/Packaging,Tommy Tuberville
3/6/2023,Joint,BMO,Stock,Sale (Full),"$15,000 ",AL,,Tommy Tuberville
3/3/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
3/7/2023,Spouse,AAPL,Stock,Sale (Partial),"$50,000 ",DE,Computer Manufacturing,Thomas R. Carper
1/19/2022,Spouse,TSM,Stock,Sale (Partial),"$15,000 ",DE,Semiconductors,Thomas R. Carper
3/3/2023,Spouse,WFC,Stock,Purchase,"$15,000 ",KY,Major Banks,Mitch Mcconnell
3/23/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,Rick Scott
3/22/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Blumenthal
2/10/2023,Joint,SCHW,Stock,Sale (Partial),"$15,000 ",AK,Investment Bankers/Brokers/Service,Dan Sullivan
2/21/2023,Joint,CHD,Stock,Purchase,"$15,000 ",AK,Package Goods/Cosmetics,Dan Sullivan
2/10/2023,Joint,CHD,Stock,Purchase,"$15,000 ",AK,Package Goods/Cosmetics,Dan Sullivan
2/10/2023,Joint,GOOG,Stock,Purchase,"$15,000 ",AK,"Computer Software: Programming, Data Processing",Dan Sullivan
3/14/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,Tommy Tuberville
3/13/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,Shelley Moore Capito
3/6/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,John Boozman
2/21/2023,Spouse,QCOM,Stock,Sale (Partial),"$15,000 ",DE,Radio And Television Broadcasting And Communications Equipment,Thomas R. Carper
2/21/2023,Spouse,SBUX,Stock,Sale (Full),"$15,000 ",DE,Restaurants,Thomas R. Carper
2/21/2023,Spouse,VFH,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
2/21/2023,Spouse,SQM,Stock,Purchase,"$15,000 ",DE,,Thomas R. Carper
2/21/2023,Spouse,WM,Stock,Purchase,"$15,000 ",DE,Environmental Services,Thomas R. Carper
2/21/2023,Spouse,TSM,Stock,Sale (Partial),"$15,000 ",DE,Semiconductors,Thomas R. Carper
2/21/2023,Spouse,AGX,Stock,Purchase,"$15,000 ",DE,Oilfield Services/Equipment,Thomas R. Carper
2/21/2023,Spouse,KBE,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
2/21/2023,Spouse,HASI,Stock,Purchase,"$15,000 ",DE,Real Estate Investment Trusts,Thomas R. Carper
2/21/2023,Spouse,MOS,Stock,Purchase,"$15,000 ",DE,Agricultural Chemicals,Thomas R. Carper
2/21/2023,Spouse,FPI,Stock,Purchase,"$15,000 ",DE,,Thomas R. Carper
2/21/2023,Spouse,RTH,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
2/21/2023,Spouse,BSM,Stock,Purchase,"$15,000 ",DE,Oil & Gas Production,Thomas R. Carper
2/21/2023,Spouse,RTX,Stock,Purchase,"$15,000 ",DE,Aerospace,Thomas R. Carper
2/21/2023,Spouse,IRM,Stock,Sale (Partial),"$15,000 ",DE,Real Estate Investment Trusts,Thomas R. Carper
2/21/2023,Spouse,APO,Stock,Sale (Partial),"$15,000 ",DE,Investment Managers,Thomas R. Carper
2/15/2023,Spouse,ABYIX,Other Securities,Sale (Partial),"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,MBXIX,Other Securities,Sale (Partial),"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,LUBYX,Other Securities,Sale (Full),"$50,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,JHMM,Other Securities,Sale (Partial),"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,VHT,Other Securities,Purchase,"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,SBIO,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,IVV,Other Securities,Purchase,"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,IJR,Other Securities,Purchase,"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,IWD,Other Securities,Purchase,"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,CDL,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,SPGP,Other Securities,Sale (Partial),"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,GNR,Other Securities,Sale (Partial),"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,LDP,Stock,Sale (Full),"$15,000 ",DE,Finance Companies,Thomas R. Carper
2/15/2023,Spouse,QTEC,Other Securities,Purchase,"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,FDN,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,RTH,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,MOO,Other Securities,Sale (Partial),"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,IGHG,Other Securities,Purchase,"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,GBIL,Other Securities,Purchase,"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,FDRR,Other Securities,Sale (Partial),"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,FQAL,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
2/15/2023,Spouse,NXTG,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
2/24/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,Rick Scott
2/16/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,Gary C. Peters
1/23/2023,Joint,GOLD,Stock,Purchase,"$15,000 ",AL,Precious Metals,Tommy Tuberville
1/18/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
1/18/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
1/18/2023,Joint,CLF,Stock,Purchase,"$250,000 ",AL,Precious Metals,Tommy Tuberville
1/13/2023,Joint,UAA,Stock,Purchase,"$50,000 ",AL,Apparel,Tommy Tuberville
1/12/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
1/11/2023,Joint,V,Stock Option,Sale (Partial),"$15,000 ",AL,Business Services,Tommy Tuberville
1/11/2023,Joint,KO,Stock Option,Sale (Partial),"$15,000 ",AL,Beverages (Production/Distribution),Tommy Tuberville
1/11/2023,Joint,AAPL,Stock Option,Sale (Partial),"$15,000 ",AL,Computer Manufacturing,Tommy Tuberville
1/11/2023,Joint,TXN,Stock Option,Sale (Partial),"$15,000 ",AL,Semiconductors,Tommy Tuberville
1/5/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
1/5/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
1/5/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
1/5/2023,Joint,X,Stock Option,Purchase,"$15,000 ",AL,Steel/Iron Ore,Tommy Tuberville
1/5/2023,Joint,X,Stock,Sale (Partial),"$15,000 ",AL,Steel/Iron Ore,Tommy Tuberville
1/5/2023,Joint,X,Stock,Sale (Partial),"$15,000 ",AL,Steel/Iron Ore,Tommy Tuberville
1/5/2023,Joint,X,Stock,Sale (Partial),"$15,000 ",AL,Steel/Iron Ore,Tommy Tuberville
1/5/2023,Joint,X,Stock,Sale (Partial),"$50,000 ",AL,Steel/Iron Ore,Tommy Tuberville
1/5/2023,Joint,X,Stock,Sale (Partial),"$100,000 ",AL,Steel/Iron Ore,Tommy Tuberville
1/5/2023,Joint,CLF,Stock Option,Sale (Partial),"$50,000 ",AL,Precious Metals,Tommy Tuberville
1/10/2023,Joint,ULTA,Stock,Sale (Partial),"$15,000 ",AK,,Dan Sullivan
1/10/2023,Joint,PXD,Stock,Sale (Partial),"$15,000 ",AK,Oil & Gas Production,Dan Sullivan
1/10/2023,Joint,JPM,Stock,Sale (Partial),"$15,000 ",AK,Major Banks,Dan Sullivan
1/10/2023,Joint,CVS,Stock,Sale (Partial),"$15,000 ",AK,Medical/Nursing Services,Dan Sullivan
1/10/2023,Joint,BMY,Stock,Sale (Partial),"$15,000 ",AK,Major Pharmaceuticals,Dan Sullivan
1/10/2023,Joint,BKNG,Stock,Sale (Partial),"$15,000 ",AK,Transportation Services,Dan Sullivan
1/10/2023,Joint,ZTS,Stock,Purchase,"$15,000 ",AK,Major Pharmaceuticals,Dan Sullivan
1/10/2023,Joint,AMZN,Stock,Purchase,"$15,000 ",AK,Catalog/Specialty Distribution,Dan Sullivan
1/10/2023,Joint,ALGN,Stock,Purchase,"$15,000 ",AK,Industrial Specialties,Dan Sullivan
2/10/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,Christopher A. Coons
1/18/2023,Spouse,RIO,Stock,Sale (Full),"$15,000 ",DE,Precious Metals,Thomas R. Carper
1/18/2023,Spouse,FPI,Stock,Purchase,"$15,000 ",DE,,Thomas R. Carper
1/12/2023,Spouse,AQN,Stock,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
1/4/2023,Spouse,MAXR,Stock,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
1/4/2023,Spouse,MGM,Stock,Purchase,"$15,000 ",DE,Hotels/Resorts,Thomas R. Carper
1/11/2023,Spouse,AMT,Stock,Purchase,"$15,000 ",DE,Real Estate Investment Trusts,Thomas R. Carper
1/11/2023,Spouse,SRVR,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
1/11/2023,Spouse,MOO,Other Securities,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
1/11/2023,Spouse,ATKR,Stock,Purchase,"$15,000 ",DE,Electrical Products,Thomas R. Carper
1/11/2023,Spouse,HOLX,Stock,Sale (Full),"$15,000 ",DE,Medical Electronics,Thomas R. Carper
1/11/2023,Spouse,BHP,Stock,Purchase,"$15,000 ",DE,Precious Metals,Thomas R. Carper
1/11/2023,Spouse,RMD,Stock,Sale (Full),"$15,000 ",DE,Medical/Dental Instruments,Thomas R. Carper
1/11/2023,Spouse,CVS,Stock,Sale (Partial),"$15,000 ",DE,Medical/Nursing Services,Thomas R. Carper
1/11/2023,Spouse,TU,Stock,Sale (Full),"$15,000 ",DE,,Thomas R. Carper
1/11/2023,Spouse,DLR,Stock,Purchase,"$15,000 ",DE,Real Estate Investment Trusts,Thomas R. Carper
1/11/2023,Spouse,AXS,Stock,Sale (Full),"$15,000 ",DE,Property-Casualty Insurers,Thomas R. Carper
1/11/2023,Spouse,CME,Stock,Purchase,"$15,000 ",DE,Investment Bankers/Brokers/Service,Thomas R. Carper
1/11/2023,Spouse,SAND,Stock,Purchase,"$15,000 ",DE,,Thomas R. Carper
1/11/2023,Spouse,BSM,Stock,Purchase,"$15,000 ",DE,Oil & Gas Production,Thomas R. Carper
1/11/2023,Spouse,URA,Other Securities,Purchase,"$15,000 ",DE,,Thomas R. Carper
1/11/2023,Spouse,FLNG,Stock,Purchase,"$15,000 ",DE,,Thomas R. Carper
1/11/2023,Spouse,EQNR,Stock,Purchase,"$15,000 ",DE,Integrated oil Companies,Thomas R. Carper
1/11/2023,Spouse,MCD,Stock,Sale (Full),"$15,000 ",DE,Restaurants,Thomas R. Carper
1/19/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,Rick Scott
12/28/2022,Self,RNWK,Stock,Sale (Full),"$50,000 ",WA,Computer Software: Prepackaged Software,Maria Cantwell
12/23/2022,Joint,GOLD,Stock,Purchase,"$50,000 ",AL,Precious Metals,Tommy Tuberville
12/19/2022,Joint,NU,Stock,Purchase,"$15,000 ",AL,Finance: Consumer Services,Tommy Tuberville
12/15/2022,Joint,DIS,Stock,Sale (Partial),"$50,000 ",AL,Services-Misc. Amusement & Recreation,Tommy Tuberville
12/9/2022,Joint,PG,Stock Option,Sale (Full),"$15,000 ",AL,Package Goods/Cosmetics,Tommy Tuberville
12/9/2022,Joint,KMB,Stock Option,Sale (Full),"$15,000 ",AL,Containers/Packaging,Tommy Tuberville
12/9/2022,Joint,PYPL,Stock Option,Sale (Full),"$250,000 ",AL,Business Services,Tommy Tuberville
12/9/2022,Joint,PG,Stock Option,Sale (Full),"$15,000 ",AL,Package Goods/Cosmetics,Tommy Tuberville
