transaction_date,owner,ticker,asset_type,type,amount,state,industry,senator
2/6/2014,Spouse,CMCSA,,Purchase,"$15,000 ",ME,Television Services,Susan M. Collins
2/5/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
1/30/2014,Spouse,REGN,,Sale (Partial),"$15,000 ",ME,Major Pharmaceuticals,Susan M. Collins
1/30/2014,Spouse,CELG,,Sale (Partial),"$15,000 ",ME,,Susan M. Collins
1/30/2014,Spouse,GM,,Sale (Partial),"$15,000 ",ME,Auto Manufacturing,Susan M. Collins
1/30/2014,Spouse,MSFT,,Purchase,"$15,000 ",ME,Computer Software: Prepackaged Software,Susan M. Collins
1/30/2014,Spouse,HON,,Purchase,"$15,000 ",ME,Aerospace,Susan M. Collins
1/30/2014,Spouse,CVS,,Purchase,"$15,000 ",ME,Medical/Nursing Services,Susan M. Collins
2/5/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Pat Roberts
1/29/2014,Spouse,MSFT,,Purchase,"$15,000 ",ME,Computer Software: Prepackaged Software,Susan M. Collins
1/29/2014,Spouse,C,,Sale (Partial),"$15,000 ",ME,Major Banks,Susan M. Collins
1/29/2014,Spouse,C,,Sale (Partial),"$15,000 ",ME,Major Banks,Susan M. Collins
1/28/2014,Spouse,EBAY,,Sale (Partial),"$15,000 ",ME,Business Services,Susan M. Collins
1/24/2014,Spouse,FB,,Purchase,"$15,000 ",ME,"Computer Software: Programming, Data Processing",Susan M. Collins
1/24/2014,Spouse,CRM,,Purchase,"$15,000 ",ME,Computer Software: Prepackaged Software,Susan M. Collins
1/24/2014,Spouse,GE,,Sale (Partial),"$15,000 ",ME,Consumer Electronics/Appliances,Susan M. Collins
1/30/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Sheldon Whitehouse
1/29/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
1/29/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
1/29/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Jack Reed
1/22/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Mark R. Warner
1/16/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Maria Cantwell
1/14/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
1/10/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Sheldon Whitehouse
1/8/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,John Hoeven
1/8/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Pat Roberts
1/7/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
1/7/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
1/6/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Jack Reed
12/20/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
12/18/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
12/17/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,"Angus S. King, Jr."
12/13/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Burr
12/12/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thad Cochran
12/12/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Pat Roberts
12/11/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Sheldon Whitehouse
12/6/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
12/5/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
11/22/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
11/22/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Mark R. Warner
11/18/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
11/18/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,"Angus S. King, Jr."
11/14/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thad Cochran
11/14/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,John Hoeven
11/8/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Blumenthal
11/5/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Sheldon Whitehouse
11/4/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
11/4/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
10/31/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Burr
10/31/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Patrick J. Toomey
10/30/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Patrick J. Toomey
10/29/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Pat Roberts
10/23/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
10/21/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thad Cochran
10/17/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thad Cochran
10/16/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Burr
10/16/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Benjamin L Cardin
10/15/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
10/15/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Mark R. Warner
10/9/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Sheldon Whitehouse
10/8/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Pat Roberts
10/4/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
10/1/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
9/27/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Burr
9/26/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Patrick J. Toomey
9/25/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
9/24/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,"Angus S. King, Jr."
9/18/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
9/12/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thad Cochran
9/12/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
9/10/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Sheldon Whitehouse
9/9/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Pat Roberts
9/5/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
9/5/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Mark R. Warner
9/4/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
9/3/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Roy Blunt
9/3/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
8/28/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Mark R. Warner
8/26/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,"Angus S. King, Jr."
8/23/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,John Hoeven
8/14/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thad Cochran
8/12/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Sheldon Whitehouse
8/2/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
8/1/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
7/31/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Pat Roberts
7/29/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thad Cochran
7/25/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Burr
7/25/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
7/22/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,"Angus S. King, Jr."
7/19/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,John Hoeven
7/18/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Jack Reed
7/17/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
7/17/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Sheldon Whitehouse
7/15/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thad Cochran
7/12/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,John Hoeven
7/11/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Burr
7/11/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Maria Cantwell
7/9/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
7/8/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
7/3/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
6/28/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
6/26/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
6/25/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,"Angus S. King, Jr."
6/18/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
6/17/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Mark R. Warner
6/12/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thad Cochran
6/11/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Burr
6/10/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
6/6/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
6/6/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Jack Reed
6/6/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Pat Roberts
6/5/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Sheldon Whitehouse
6/5/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Ron Wyden
6/4/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
6/3/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Patrick J. Toomey
5/29/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thad Cochran
5/21/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Burr
5/21/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
5/20/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,"Angus S. King, Jr."
5/15/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Sheldon Whitehouse
5/14/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
5/14/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Christopher A. Coons
5/13/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Burr
5/13/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Mark R. Warner
5/10/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
5/9/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Pat Roberts
5/8/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thad Cochran
5/8/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Michael B. Enzi
5/8/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Michael B. Enzi
5/7/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
5/7/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Ted Cruz
5/2/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Roy Blunt
5/2/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
